"Timestamp","Question 1","Question 2","Question 3","Question 4","Question 5","Question 6","Question 7","Question 8","Question 9","Question 10","Question 11","Question 12","Question 13","Question 14","Question 15","Question 16","Question 17","Question 18"
"2022/02/03 12:07:26 PM GMT+1","A","B","A","A","A","B","A","B","A","A","B","B","A","B","B","B","A","A"
"2022/02/03 12:38:11 PM GMT+1","A","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/03 12:41:28 PM GMT+1","A","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/03 12:54:13 PM GMT+1","B","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/03 1:32:14 PM GMT+1","A","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/03 1:33:39 PM GMT+1","A","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/03 1:57:25 PM GMT+1","A","B","B","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/03 2:35:01 PM GMT+1","A","B","A","A","A","B","A","B","B","A","A","A","A","B","B","B","A","A"
"2022/02/03 3:43:14 PM GMT+1","A","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/03 3:49:51 PM GMT+1","A","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/03 3:53:04 PM GMT+1","A","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/03 4:00:34 PM GMT+1","A","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/03 4:01:32 PM GMT+1","A","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/03 4:03:31 PM GMT+1","A","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/03 4:05:21 PM GMT+1","A","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/03 4:10:04 PM GMT+1","B","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/03 4:11:10 PM GMT+1","A","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/03 4:12:38 PM GMT+1","A","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/03 4:20:01 PM GMT+1","B","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/03 4:26:00 PM GMT+1","B","B","B","A","A","B","B","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/03 4:30:07 PM GMT+1","A","B","A","A","A","B","B","B","B","A","A","A","A","A","A","B","A","A"
"2022/02/03 4:53:01 PM GMT+1","A","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/03 5:11:17 PM GMT+1","A","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/03 6:08:56 PM GMT+1","A","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/03 6:47:23 PM GMT+1","A","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/03 7:04:44 PM GMT+1","A","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/03 7:05:57 PM GMT+1","A","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/03 7:10:08 PM GMT+1","A","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/03 7:10:51 PM GMT+1","A","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/03 7:13:54 PM GMT+1","A","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/03 7:16:47 PM GMT+1","A","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/03 7:25:31 PM GMT+1","A","B","A","B","B","A","A","A","A","B","B","B","A","B","A","B","B","B"
"2022/02/03 7:26:01 PM GMT+1","B","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/03 7:49:38 PM GMT+1","A","B","B","A","A","A","B","B","A","B","B","A","A","A","B","A","B","B"
"2022/02/03 8:01:09 PM GMT+1","A","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/03 8:02:06 PM GMT+1","A","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/03 8:10:13 PM GMT+1","B","B","A","B","B","B","A","B","A","A","B","A","B","A","A","B","B","A"
"2022/02/03 8:11:04 PM GMT+1","A","B","B","A","B","B","B","A","B","A","A","B","A","B","A","A","A","B"
"2022/02/03 8:19:57 PM GMT+1","A","B","A","A","A","B","A","B","A","A","A","A","B","B","A","A","B","A"
"2022/02/03 8:21:34 PM GMT+1","A","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/03 8:36:05 PM GMT+1","A","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/03 8:45:57 PM GMT+1","B","B","A","A","A","B","B","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/03 8:52:30 PM GMT+1","A","A","B","A","B","A","B","B","B","B","A","A","A","B","B","B","B","A"
"2022/02/03 8:58:13 PM GMT+1","A","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/03 10:01:19 PM GMT+1","B","B","A","A","A","B","A","A","B","A","A","A","A","B","A","B","A","A"
"2022/02/03 10:27:41 PM GMT+1","B","A","A","B","B","A","A","A","B","A","A","A","A","B","B","B","A","A"
"2022/02/03 11:01:10 PM GMT+1","A","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/03 11:07:29 PM GMT+1","A","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/03 11:35:40 PM GMT+1","A","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/04 12:21:00 AM GMT+1","A","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/04 4:26:35 AM GMT+1","B","A","B","A","A","B","A","B","B","B","B","A","B","B","B","B","B","B"
"2022/02/04 7:42:53 AM GMT+1","A","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/04 7:44:23 AM GMT+1","A","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/04 8:05:19 AM GMT+1","A","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/04 9:30:57 AM GMT+1","B","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/04 9:42:45 AM GMT+1","B","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/04 9:44:03 AM GMT+1","A","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/04 9:45:43 AM GMT+1","A","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/04 10:05:38 AM GMT+1","A","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"
"2022/02/04 10:31:55 AM GMT+1","B","A","B","A","A","B","A","B","B","A","B","B","A","B","A","B","A","A"
"2022/02/04 10:55:48 AM GMT+1","A","B","A","A","A","B","A","B","B","A","A","A","A","B","A","B","A","A"